,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,PF,1570421172,100,86,-23.12,-134.97,23.19,5.06
1,Saskylakh,RU,1570421172,90,95,71.97,114.09,-7.45,2.87
2,Busselton,AU,1570421023,3,33,-33.64,115.35,22.22,3.65
3,Tazovskiy,RU,1570421172,96,85,67.47,78.7,1.78,10.08
4,Vaini,IN,1570421172,40,94,15.34,74.49,23.0,1.06
5,Jamestown,AU,1570421173,100,69,-33.21,138.6,14.3,5.58
6,Tessalit,ML,1570420947,87,11,20.2,1.01,30.27,3.78
7,Praia da Vitoria,PT,1570421173,40,88,38.73,-27.07,23.0,6.34
8,Fort Saint James,CA,1570421173,100,65,54.43,-124.25,7.96,4.84
9,Itamaraca,BR,1570420880,40,83,-7.75,-34.83,25.0,3.6
10,Tiksi,RU,1570421173,91,92,71.64,128.87,-4.21,2.37
11,Ketchikan,US,1570421087,90,87,55.34,-131.65,11.0,6.2
12,Chokurdakh,RU,1570421173,100,86,70.62,147.9,-6.09,2.84
13,Mahebourg,MU,1570421173,40,88,-20.41,57.7,23.0,6.2
14,Tasiilaq,GL,1570421174,79,93,65.61,-37.64,4.0,1.3
15,Buchanan,LR,1570421174,75,100,5.88,-10.05,24.0,6.27
16,Palmer,AU,1570421174,75,87,-34.85,139.16,17.22,5.7
17,Nanortalik,GL,1570421174,0,79,60.14,-45.24,4.52,0.42
18,Mataura,NZ,1570421174,90,45,-46.19,168.86,15.34,5.26
19,Shimoda,JP,1570421174,75,73,34.7,138.93,26.67,7.7
20,Klaksvik,FO,1570421099,80,76,62.23,-6.59,11.0,15.4
21,Sao Borja,BR,1570420894,77,92,-28.66,-56.0,13.94,3.02
22,Albany,US,1570421163,90,82,42.65,-73.75,19.0,4.6
23,Puerto Ayora,EC,1570421174,8,97,-0.74,-90.35,17.78,2.68
24,Leningradskiy,RU,1570421175,48,74,69.38,178.42,-4.13,2.02
25,Jagdispur,IN,1570421175,40,70,25.47,84.42,30.0,1.5
26,Yellowknife,CA,1570421175,90,93,62.45,-114.38,2.0,7.2
27,Port Elizabeth,US,1570421073,90,77,39.31,-74.98,22.0,3.1
28,Port Alfred,ZA,1570421103,100,93,-33.59,26.89,17.78,4.2
29,Qaanaaq,GL,1570421175,100,77,77.48,-69.36,-6.74,7.67
30,Morondava,MG,1570421175,0,70,-20.3,44.28,25.27,4.63
31,East London,ZA,1570421175,75,100,-33.02,27.91,17.0,5.7
32,Caravelas,BR,1570421176,0,86,-17.73,-39.27,22.74,3.43
33,Richards Bay,ZA,1570421176,75,88,-28.77,32.06,20.83,7.53
34,Talnakh,RU,1570421176,90,96,69.49,88.39,0.0,4.0
35,Arraial do Cabo,BR,1570421030,80,89,-22.97,-42.02,21.66,2.42
36,Ushuaia,AR,1570421038,40,80,-54.81,-68.31,2.0,5.7
37,Calama,CL,1570421176,0,15,-22.46,-68.93,8.89,6.2
38,Broken Hill,AU,1570421176,0,33,-31.97,141.45,23.0,5.7
39,Hilo,US,1570421066,20,54,19.71,-155.08,28.0,1.5
40,Ossora,RU,1570421176,100,84,59.24,163.07,-0.27,14.07
41,Cabra,ES,1570421176,79,66,37.47,-4.43,18.33,0.6
42,Pradopolis,BR,1570421177,0,94,-21.36,-48.07,20.0,3.1
43,Zhongxing,CN,1570421177,35,70,19.57,109.85,28.73,1.74
44,Nikolskoye,RU,1570421177,0,92,59.7,30.79,1.11,1.0
45,Atuona,PF,1570421177,0,68,-9.8,-139.03,26.85,6.14
46,Nishihara,JP,1570421177,40,69,35.74,139.53,27.22,5.1
47,Namatanai,PG,1570421177,59,79,-3.66,152.44,27.45,4.87
48,Carballo,ES,1570421177,0,100,43.21,-8.69,11.11,2.6
49,Lebanon,US,1570421178,90,100,40.34,-76.42,20.0,3.68
50,Kloulklubed,PW,1570421091,75,66,7.04,134.26,31.0,2.6
51,Hofn,IS,1570421178,100,99,64.25,-15.21,3.33,5.96
52,Hermanus,ZA,1570421178,32,91,-34.42,19.24,13.89,1.34
53,Taltal,CL,1570421178,0,76,-25.41,-70.49,11.26,1.41
54,Namibe,AO,1570421178,98,76,-15.19,12.15,19.97,3.93
55,Dingle,PH,1570421178,63,72,11.0,122.67,29.26,3.81
56,Neya,RU,1570421179,100,100,58.29,43.89,2.52,2.76
57,Golden,US,1570420666,1,52,39.76,-105.22,10.0,3.18
58,Butaritari,KI,1570421067,0,63,3.07,172.79,29.25,1.21
59,Victoria,BN,1570421061,75,74,5.28,115.24,30.0,2.1
60,Kapaa,US,1570421042,90,94,22.08,-159.32,28.0,5.1
61,Port Lincoln,AU,1570421179,32,72,-34.72,135.86,13.69,9.06
62,Upernavik,GL,1570421179,0,76,72.79,-56.15,-1.99,2.02
63,Sur,OM,1570421179,0,68,22.57,59.53,26.97,3.88
64,New Norfolk,AU,1570421180,75,44,-42.78,147.06,14.44,4.1
65,Baturaja,ID,1570421180,0,33,-4.12,104.17,32.71,2.45
66,Bethel,US,1570421074,90,56,60.79,-161.76,7.0,2.6
67,Beringovskiy,RU,1570421180,100,98,63.05,179.32,0.39,14.35
68,Mackay,CA,1570421180,40,45,53.65,-115.58,10.0,3.1
69,Suntar,RU,1570421180,96,96,62.16,117.65,0.96,3.31
70,Barrow,AR,1570421180,97,40,-38.31,-60.23,16.3,9.47
71,Khajuraho,IN,1570421180,0,69,24.85,79.93,28.0,1.0
72,Dabhol,IN,1570421180,35,78,17.6,73.17,27.53,2.79
73,Eyl,SO,1570421181,0,74,7.98,49.82,25.06,3.91
74,Kupang,ID,1570421181,0,70,-10.16,123.6,25.53,5.26
75,Norman Wells,CA,1570421040,75,68,65.28,-126.83,-1.0,1.5
76,Kodiak,US,1570421181,1,76,39.95,-94.76,11.0,2.6
77,Tikrit,IQ,1570421181,0,33,34.62,43.68,22.57,3.4
78,Longyearbyen,NO,1570421181,75,90,78.22,15.63,0.0,5.7
79,Tura,RU,1570421181,100,93,64.27,100.22,-2.64,2.57
80,Swan Hill,AU,1570421182,99,37,-35.34,143.56,20.03,4.93
81,Punta Arenas,CL,1570421034,20,55,-53.16,-70.91,4.0,4.6
82,Oxford,US,1570421167,1,78,33.61,-85.83,23.0,3.1
83,Awbari,LY,1570421182,0,28,26.59,12.77,20.83,2.71
84,Tuktoyaktuk,CA,1570421030,90,92,69.44,-133.03,-1.0,5.7
85,Bandarbeyla,SO,1570421182,10,79,9.49,50.81,24.55,3.59
86,Guayaquil,EC,1570420892,0,73,-2.18,-79.88,24.0,6.2
87,Witney,GB,1570420997,75,93,51.78,-1.49,11.11,0.5
88,Bluff,AU,1570421182,0,17,-23.58,149.07,34.54,2.77
89,Tuatapere,NZ,1570421182,100,67,-46.13,167.69,12.44,6.09
90,Avarua,CK,1570421182,100,53,-21.21,-159.78,22.0,4.1
91,Lexington Park,US,1570421183,90,73,38.26,-76.45,22.78,4.6
92,Bredasdorp,ZA,1570421025,0,82,-34.53,20.04,14.0,1.5
93,Komsomolskiy,RU,1570421183,99,90,67.55,63.78,0.13,7.34
94,Ponta Delgada,PT,1570421183,75,100,37.73,-25.67,23.33,5.7
